id	tier	corpus	work	reference	sanskrit_iast	english_rendering	context_and_limits	verification	family	source_url
62	B	Dharmaśāstra	Bṛhaspati Smṛti, Vyavahārakāṇḍa	1.1.111	dharmaśāstrārthaśāstrābhyām avirodhena pārthivaḥ | samīkṣamāṇo nipuṇaṃ vyavahāragatiṃ nayet	A ruler should determine legal procedure through careful examination consistent with Dharmaśāstra and Arthaśāstra.	Judicial method, not theology.	Verified primary Sanskrit	brhaspati_legal_reason	https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/4_dharma/smrti/brhasppu.htm
63	A	Dharmaśāstra	Bṛhaspati Smṛti, Vyavahārakāṇḍa	1.1.114	kevalaṃ śāstram āśritya na kartavyo vinirṇayaḥ | yuktihīne vicāre tu dharmahāniḥ prajāyate	A decision must not be made by relying on scripture alone; when inquiry lacks reasoning, dharma is harmed.	One of the clearest direct statements, specifically in adjudication.	Verified primary Sanskrit	brhaspati_legal_reason	https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/4_dharma/smrti/brhasppu.htm
64	A	Dharmaśāstra	Bṛhaspati Smṛti, Vyavahārakāṇḍa	1.1.116	cauro 'cauraḥ sādhv asādhu jāyate vyavahārataḥ | yuktiṃ vinā vicāreṇa māṇḍavyaś coratāṃ gataḥ	In litigation the innocent can be made a thief and the good made bad; without reasoning in inquiry, Māṇḍavya was condemned as a thief.	Warns concretely against authority acting without rational evaluation.	Verified primary Sanskrit	brhaspati_legal_reason	https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/4_dharma/smrti/brhasppu.htm
65	A	Dharmaśāstra	Bṛhaspati Smṛti, Vyavahārakāṇḍa	1.1.117	asatyāḥ satyasadṛśāḥ satyāś cāsatyasaṃnibhāḥ | dṛśyante bhrāntijanakās tasmād yuktyā vicārayet	False claims may look true and true claims false; because appearances mislead, one should investigate through reasoning.	Judicial epistemology with general force.	Verified primary Sanskrit	brhaspati_legal_reason	https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/4_dharma/smrti/brhasppu.htm
66	B	Dharmasūtra	Āpastamba Dharmasūtra	1.7.20.6–8	na dharmādharmau carata āvaṃ sva iti | na devagandharvā na pitara ity ācakṣate 'yaṃ dharmo 'yam adharma iti | yat tv āryāḥ kriyamāṇaṃ praśaṃsanti sa dharmo yad garhante so 'dharmaḥ | ... samyagvinītānāṃ vṛddhānām ātmavatām alolupānām adāmbhikānāṃ vṛttasādṛśyaṃ bhajeta	Dharma and adharma do not announce themselves; gods and ancestors do not point them out. Look to conduct praised by disciplined, mature, self-controlled, non-greedy, sincere people.	Not pure individual reason: the solution is ethically qualified communal judgment. Also numbered 1.20.6–8 in another scheme.	Verified primary Sanskrit; numbering crosswalk	apastamba_dharma_discernment	https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/4_dharma/sutra/apastd_u.htm
67	B	Arthaśāstra	Kauṭilya Arthaśāstra	1.2.10–12	sāṃkhyaṃ yogo lokāyataṃ ca ity ānvīkṣikī | dharmādharmau trayyām arthānarthau vārttāyāṃ nayānayau daṇḍanītyāṃ balābale caitāsāṃ hetubhir anvīkṣamāṇā lokasyopakaroti | pradīpaḥ sarvavidyānām upāyaḥ sarvakarmaṇām | āśrayaḥ sarvadharmāṇāṃ śaśvad ānvīkṣikī matā	Inquiry examines dharma and adharma, gain and loss, policy, strength and weakness by reasons; it is a lamp for all sciences and a means for all actions.	Classical defense of ānvīkṣikī, including Sāṃkhya, Yoga and Lokāyata.	Verified primary Sanskrit	anviksiki_reason	https://www.wisdomlib.org/hinduism/book/kautilya-arthashastra-sanskrit/d/doc905503.html
68	A	Arthaśāstra	Kauṭilya Arthaśāstra	1.15.22–23	na kaṃcid avamanyeta sarvasya śṛṇuyān matam | bālasyāpy arthavad vākyam upayuñjīta paṇḍitaḥ	Despise no one; hear everyone’s view. A wise person should use a meaningful statement even from a child.	A direct status-independent rule for evaluating speech by content.	Verified primary Sanskrit	reason_from_child	https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/5_artha/kautil_u.htm
69	B	Arthaśāstra	Kauṭilya Arthaśāstra	1.9.3–7	sahādhyāyino hy amātyaṃ parīkṣeran ... pratyakṣaparokṣānumeyā hi rājavṛttiḥ	Ministers should be tested through informed witnesses; royal affairs are known through direct observation, report, and inference.	Institutional testing and evidence; practical rather than spiritual.	Verified primary Sanskrit	practical_examination	https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/5_artha/kautil_u.htm
70	A	Nīti	Cāṇakya Nīti Sūtra	1.65	na devacaritaṃ caret	Do not imitate the conduct of gods.	Very concise parallel to Bhāgavata 10.33.30–31.	Verified digital Sanskrit	no_divine_imitation	https://sanskritdocuments.org/doc_z_misc_major_works/chANakyasUtra.html
71	C	Nīti	Cāṇakya Nīti Sūtra	2.37	na daivamātrapramāṇānāṃ kāryasiddhiḥ	Those who rely on fate alone do not accomplish their task.	Practical warning against single-factor fatalism.	Verified digital Sanskrit	practical_examination	https://sanskritdocuments.org/doc_z_misc_major_works/chANakyasUtra.html
72	B	Nīti	Cāṇakya Nīti Sūtra	2.40	pratyakṣaparokṣānumānaiḥ kāryāṇi parīkṣet	Examine undertakings by direct evidence, indirect report, and inference.	Compact practical epistemology.	Verified digital Sanskrit	evidence_inference	https://sanskritdocuments.org/doc_z_misc_major_works/chANakyasUtra.html
73	A	Nīti	Cāṇakya Nīti Sūtra	3.1	bālād api yuktam arthaṃ śṛṇuyāt	Hear a reasonable point even from a child.	Status does not determine truth.	Verified digital Sanskrit	reason_from_child	https://sanskritdocuments.org/doc_z_misc_major_works/chANakyasUtra.html
74	A	Nīti	Cāṇakya-rāja-nīti	120	yuktiyuktaṃ vaco grāhyaṃ na vaco gurugauravāt	Accept a reasoned statement, not a statement merely because of reverence for a guru.	Exact parallel of the Yājñavalkyaśikṣā manuscript wording; Cāṇakya collections are composite and edition-dependent.	Verified digitized edition; collection attribution qualified	yukti_guru_reverence	https://www.ambuda.org/texts/chanakyarajanitih/143
75	B	Yoga	Patañjali Yoga Sūtra	1.7	pratyakṣānumānāgamāḥ pramāṇāni	Perception, inference, and reliable testimony are means of valid cognition.	Testimony is one pramāṇa among three, not necessarily subordinate.	Verified primary Sanskrit	yoga_pramanas	https://www.wisdomlib.org/hinduism/book/yoga-sutras-with-bhojas-rajamartanda/d/doc1217002.html
76	B	Nyāya	Nyāya Sūtra	1.1.3	pratyakṣānumānopamānaśabdāḥ pramāṇāni	Perception, inference, comparison, and testimony are means of knowledge.	Nyāya’s four-pramāṇa framework.	Verified primary Sanskrit	nyaya_pramanas	https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/nyaya/gaunys_u.htm
77	B	Nyāya	Nyāya Sūtra	1.1.7	āptopadeśaḥ śabdaḥ	Testimony is the instruction of a trustworthy competent person.	Authority depends on āptatva, not a title alone.	Verified primary Sanskrit	nyaya_pramanas	https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/nyaya/gaunys_u.htm
78	B	Sāṃkhya	Sāṃkhya Kārikā	4	dṛṣṭam anumānam āptavacanaṃ ca sarvapramāṇasiddhatvāt | trividhaṃ pramāṇam iṣṭaṃ prameyasiddhiḥ pramāṇād dhi	Perception, inference, and trustworthy testimony are accepted; an object is established through valid means of knowledge.	Plural epistemology, not anti-scriptural.	Verified primary Sanskrit	samkhya_pramanas	https://sanskritdocuments.org/doc_z_misc_major_works/IshvarakRiShNasAnkyakArikA.html
79	A	Vedānta	Māṇḍūkya Kārikā	3.23	bhūtato 'bhūtato vāpi sṛjyamāne samā śrutiḥ | niścitaṃ yuktiyuktaṃ ca yat tad bhavati netarat	Scriptural creation language can be read in different ways; the settled meaning is the one supported by reasoning, not another.	Context reconciles apparently conflicting creation passages.	Verified primary Sanskrit	scripture_with_reason	https://advaitasharada.sringeri.net/display/splitWindow/Mandukya/AY/MK_C03_K23_B01
80	A	Yoga / Mokṣaśāstra	Mokṣopāya	2.18.2	api pauruṣam ādeyaṃ śāstraṃ ced yuktibodhakam | anyad ārṣam api tyājyaṃ bhāvyaṃ nyāyaikasevinā	Even a human-authored text may be accepted if it teaches with reason; even a sage-attributed text should be left if otherwise, by one devoted to sound reasoning.	Older Mokṣopāya recension; one of the strongest direct passages.	Verified primary Sanskrit	yoga_vasistha_reason	https://www.wisdomlib.org/hinduism/book/moksopaya-sanskrit/d/doc842385.html
81	A	Yoga / Mokṣaśāstra	Yoga Vāsiṣṭha	2.18.3	yuktiyuktam upādeyaṃ vacanaṃ bālakād api | anyat tṛṇam iva tyājyam apy uktaṃ padmajanmanā	Accept a reasoned statement even from a child; discard an unreasonable one like straw even if spoken by Brahmā.	Later Yoga Vāsiṣṭha recension; direct status-independent evaluation.	Verified primary Sanskrit	yoga_vasistha_reason	https://www.wisdomlib.org/hinduism/book/yoga-vasistha-sanskrit/d/doc249996.html
82	B	Vedānta	Vivekacūḍāmaṇi	11–15	cittasya śuddhaye karma na tu vastūpalabdhaye | vastusiddhir vicāreṇa na kiṃcit karmakoṭibhiḥ ... samyagvicārataḥ siddhā rajjutattvāvadhāraṇā	Actions purify the mind, but reality is established through inquiry; correct investigation resolves illusion as surely as recognizing a rope ends fear of a snake.	Traditional Advaita inquiry under a teacher.	Verified digital Sanskrit	advaita_inquiry	https://sanskritdocuments.org/doc_z_misc_shankara/viveknew.html
83	A	Vedānta	Vivekacūḍāmaṇi	54	vastusvarūpaṃ sphuṭabodhacakṣuṣā svenaiva vedyaṃ na tu paṇḍitena | candrasvarūpaṃ nijacakṣuṣaiva jñātavyam anyair avagamyate kim	Reality must be known through one’s own clear vision, not merely through a scholar—just as one must see the moon with one’s own eyes.	Direct-experience emphasis within a guru-led text.	Verified digital Sanskrit	own_realization	https://sanskritdocuments.org/doc_z_misc_shankara/viveknew.html
84	B	Vedānta	Vivekacūḍāmaṇi	58–65	vāgvaikharī śabdajharī śāstravyākhyānakauśalam | vaiduṣyaṃ viduṣāṃ tadvat bhuktaye na tu muktaye ... ajñānasarpadaṣṭasya brahmajñānauṣadhaṃ vinā | kim u vedaiś ca śāstraiś ca kim u mantraiḥ kim auṣadhaiḥ	Eloquence, torrents of words, and skill in explaining scripture may bring enjoyment, not liberation; texts and formulas alone do not cure ignorance.	Rejects sufficiency of verbal scholarship, not the need for teaching.	Verified digital Sanskrit	learning_not_realization	https://sanskritdocuments.org/doc_z_misc_shankara/viveknew.html
85	B	Vedānta	Vivekacūḍāmaṇi	472–479	śrutipramāṇaikamateḥ svadharmaniṣṭhā ... svānubhūtyā svayaṃ jñātvā svam ātmānam akhaṇḍitam	Scripture, reasoning, the teacher’s statement, and direct experience converge; the disciple must realize the undivided Self personally.	Conclusion of a strongly guru-centered Advaita work.	Verified digital Sanskrit	own_realization	https://sanskritdocuments.org/doc_z_misc_shankara/viveknew.html
86	B	Śaiva philosophy	Pāśupatasūtra Bhāṣya	1.1	pratyakṣānumānāptavacanam iti pramāṇāni	Perception, inference, and trustworthy testimony are means of knowledge.	Śaiva school’s pramāṇa statement; āgama remains authoritative.	Verified primary Sanskrit	saiva_pramanas	https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/saiva/pasupbhu.htm
87	B	Pāñcarātra	Prakāśasaṃhitā	1.10.41–47	pratyakṣam anumānaṃ ca āgamas tasya sādhanam ... yuktijanyaṃ tu vijñānam anumānikam ucyate	Perception, inference, and āgama are instruments of knowledge; inferential cognition is generated through reasoning.	Technical Pāñcarātra epistemology, not equal weighting of all sources.	Verified primary Sanskrit	pancaratra_pramanas	https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/vaisn/prakassu.htm
88	A	Āyurveda	Caraka Saṃhitā, Vimānasthāna	8.3	buddhimān ātmanaḥ kāryagurulāghavaṃ karmaphalam anubandhaṃ deśakālau ca viditvā yuktidarśanād bhiṣag bubhūṣuḥ śāstram evāditaḥ parīkṣeta	A thoughtful would-be physician should first examine the medical text through reasoning, considering purpose, consequences, place, and time.	Direct instruction to test the śāstra before selecting a teacher.	Verified digital Sanskrit	caraka_test_text_teacher	https://www.carakasamhitaonline.com/index.php/Rogabhishagjitiya_Vimana
89	A	Āyurveda	Caraka Saṃhitā, Vimānasthāna	8.4	tato 'nantaram ācāryaṃ parīkṣeta ... paryavadātaśrutaṃ paridṛṣṭakarmāṇaṃ dakṣam ... anahaṅkṛtam anasūyakam akopanaṃ kleśakṣamaṃ śiṣyavatsalam adhyāpakaṃ jñāpanasamarthaṃ ca	Next one should examine the teacher: learned, experienced, competent, unpretentious, free from envy and anger, patient, caring toward students, and able to explain.	A detailed teacher-selection test.	Verified digital Sanskrit	caraka_test_text_teacher	https://www.carakasamhitaonline.com/index.php/Rogabhishagjitiya_Vimana
90	B	Āyurveda	Caraka Saṃhitā, Vimānasthāna	8.7	manāḥpurasarābhir vāgbhiḥ sūtram anukraman punaḥ punar āvartayet | buddhvā samyag anupraviśyārthatattvaṃ svadoṣaparihārārthaṃ paradoṣapramāṇārthaṃ ca	Repeat a teaching only with attention and after entering its meaning, so as to correct one’s own errors and assess errors in others.	Understanding, not rote repetition, is the stated aim.	Verified digital Sanskrit	understand_not_repeat	https://www.carakasamhitaonline.com/index.php/Rogabhishagjitiya_Vimana
91	A	Āyurveda	Caraka Saṃhitā, Vimānasthāna	8.17	na ca nigrahabhayād udvijet nigṛhya cainaṃ na hṛṣyet | na ca mohād ekāntagrāhī syān na cāviditam artham anuvarṇayet	Do not fear being refuted or boast after refuting another; do not become one-sided through delusion or speak about what you do not know.	Explicit debate ethics and anti-dogmatism.	Verified digital Sanskrit	caraka_debate_ethics	https://www.carakasamhitaonline.com/index.php/Rogabhishagjitiya_Vimana
92	A	Āyurveda	Caraka Saṃhitā, Vimānasthāna	8.37	siddhānto nāma sa parīkṣakair bahuvidhaṃ parīkṣya hetubhiś ca sādhayitvā sthāpyate nirṇayaḥ	An established conclusion is a determination tested in many ways by examiners and established through reasons.	One of the clearest classical definitions of a tested conclusion.	Verified digital Sanskrit	caraka_tested_conclusion	https://www.carakasamhitaonline.com/index.php/Rogabhishagjitiya_Vimana
93	A	Āyurveda	Caraka Saṃhitā, Vimānasthāna	8.67	tāḥ sarvāḥ samavekṣyāvekṣya sarvaṃ vākyaṃ brūyāt | nāprakṛtakam aśāstram aparīkṣitam asādhakam ākulam avyāpakaṃ vā | sarvaṃ ca hetumad brūyāt	After examining all sides, do not state what is irrelevant, unexamined, unproved, confused, or overbroad; everything stated should have reasons.	Strong rule for responsible argument.	Verified digital Sanskrit	caraka_debate_ethics	https://www.carakasamhitaonline.com/index.php/Rogabhishagjitiya_Vimana
94	C	Āyurveda	Caraka Saṃhitā, Sūtrasthāna	20.20	rogam ādau parīkṣeta tato 'nantaram auṣadham | tataḥ karma bhiṣak paścāj jñānapūrvaṃ samācaret	First examine the disease, then select the medicine, and only afterward act with knowledge.	Clinical sequence; practical evidence rather than authority.	Verified digital Sanskrit	practical_examination	https://www.siva.sh/caraka-samhita/sutra-sthana/20/20
95	B	Āyurveda	Caraka Saṃhitā, Śārīrasthāna	1.19–21	cintyaṃ vicāryam ūhyaṃ ca ... ūho vicāraś ca tataḥ paraṃ buddhiḥ pravartate	Reasoning and deliberation operate on what is to be thought through and inferred; intellect proceeds after inquiry.	Technical psychology of reasoning; thematic support.	Verified primary Sanskrit	caraka_reasoning_faculties	https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/7_ayur/car_s_u.htm
96	B	Āyurveda	Suśruta Saṃhitā, Prabhāṣaṇīya	4.3–4	adhigatam apy adhyayanam aprabhāṣitam arthataḥ kharasya candanabhāra iva kevalaṃ pariśramakaraṃ bhavati | yathā kharaś candanabhāravāhī bhārasya vettā na tu candanasya | evaṃ hi śāstrāṇi bahūny adhītya cārtheṣu mūḍhāḥ kharavad vahanti	Study without understanding the meaning is like a donkey carrying sandalwood: it knows the weight, not the fragrance.	Critique of rote textual accumulation.	Verified digital Sanskrit	understand_not_repeat	https://www.easyayurveda.com/sushruta-4-prabhashaniya-adhyaya/
97	A	Āyurveda	Suśruta Saṃhitā, Prabhāṣaṇīya	4.7	ekaṃ śāstram adhīyāno na vidyāc chāstraniścayam | tasmād bahuśrutaḥ śāstraṃ vijānīyāc cikitsakaḥ	By studying only one science, one cannot gain certainty; therefore a physician should study widely.	Direct comparative-study principle, within medicine.	Verified digital Sanskrit	study_many_sciences	https://www.easyayurveda.com/sushruta-4-prabhashaniya-adhyaya/
98	A	Vaiṣṇava smṛti / ritual compendium	Hari-bhakti-vilāsa	1.45–46	paricaryāyaśolābhalipsuḥ śiṣyād gurur na hi | kṛpāsindhuḥ susampūrṇaḥ sarvasattvopakārakaḥ || niḥspṛhaḥ ... sarvasaṃśayasaṃchettā ... gurur āhṛtaḥ	One who desires service, fame, or gain from a disciple is not a guru; a guru is selfless, compassionate, and able to cut doubts.	Strong negative and positive qualification test.	Verified primary Sanskrit	hbv_teacher_qualifications	https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/vaisn/hbhvil_u.htm
99	C	Vaiṣṇava smṛti / ritual compendium	Hari-bhakti-vilāsa	1.54	mahākulaprasūto 'pi sarvayajñeṣu dīkṣitaḥ | sahasraśākhādhyāyī ca na guruḥ syād avaiṣṇavaḥ	High birth, many initiations, and mastery of a thousand Vedic branches do not by themselves qualify one as guru.	Sectarian Vaiṣṇava criterion; useful only for the narrower point that status and learning are insufficient.	Verified primary Sanskrit	hbv_teacher_qualifications	https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/vaisn/hbhvil_u.htm
100	B	Vaiṣṇava smṛti / ritual compendium	Hari-bhakti-vilāsa	1.73–76	iti tayoḥ parīkṣā cānyonyam ekābdaṃ sahavāsataḥ | vyavahārasvabhāvānubhavenaivābhijāyate || tayor vatsaravāsena jñātānyonyasvabhāvayoḥ | gurutā śiṣyatā ceti nānyathaiveti niścayaḥ	Guru and prospective disciple should test one another through a year of living together and observing conduct and character before establishing the relationship.	Mutual testing; an unusually concrete procedural safeguard.	Verified primary Sanskrit	mutual_year_test	https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/vaisn/hbhvil_u.htm
101	A	Pāñcarātra (quoted)	Nārada Pañcarātra, quoted in Hari-bhakti-vilāsa	1.101	yo vakti nyāyarahitam anyāyena śṛṇoti yaḥ | tāv ubhau narakaṃ ghoraṃ vrajataḥ kālam akṣayam	The one who teaches without valid warrant and the one who receives such teaching wrongly are both condemned.	Nyāya here can mean correct scriptural/moral warrant, not merely formal logic; quotation location varies in later works.	Verified quotation; interpretation qualified	unwarranted_teaching	https://anusilana.in/yo-vakti-nyaya-rahitam-anyayena-srnoti-yah/
102	A	Śākta Tantra	Timirodghāṭana	11.18–22	śaktihīnaṃ guruṃ prāpya śiṣyasiddhiḥ kutaḥ priye | mūle naṣṭe drume devi kutaḥ puṣpaphalādikam ... pratyakṣapratyayo yatra na syād iha janmani	How can a disciple attain success from a guru without power? If the root is destroyed, whence flowers and fruit? The text further asks for present-life experiential assurance.	The manuscript is damaged in this passage; wording and segmentation are editorially uncertain.	Verified critical transcription; damaged manuscript	guru_without_power	https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/saiva/timudghu.htm
103	A	Kashmir Śaiva Tantra	Tantrāloka	13.335	āmodārthī yathā bhṛṅgaḥ puṣpāt puṣpāntaraṃ vrajet | vijñānārthī tathā śiṣyo guror gurvantaraṃ vrajet	As a bee seeking fragrance moves from flower to flower, a disciple seeking fuller knowledge may move from one guru to another.	Abhinavagupta quotes an earlier scriptural verse; also repeated at Tantrāloka 22.45–46.	Verified digital Sanskrit; quoted source family	bee_many_gurus	https://www.sanskrit-trikashaivism.com/en/tantraloka-13c-trika-scriptures-non-dual-shaivism-of-kashmir/863
104	A	Kashmir Śaiva Tantra	Tantrāloka	13.336	śaktihīnaṃ guruṃ prāpya mokṣajñāne kathaṃ śrayet | naṣṭamūle drume devi kutaḥ puṣpaphalādikam	How could liberation-knowledge be obtained through a guru without power? If a tree’s root is ruined, whence flowers and fruit?	Quoted Tantric criterion; parallel of Timirodghāṭana and Kubjikāmata.	Verified digital Sanskrit	guru_without_power	https://www.wisdomlib.org/hinduism/book/tantraloka-sanskrit/d/doc179708.html
105	A	Śākta Tantra	Kulārṇava Tantra	13.108 (widely cited; printed recensions vary)	guravo bahavaḥ santi śiṣyavittāpahārakāḥ | durlabho 'yaṃ gurur devi śiṣyaduḥkhāpahārakaḥ	Many gurus take a disciple’s wealth; rare is the guru who removes the disciple’s suffering.	Variants read citta-, hṛttāpa-, santāpa-, or duḥkha-; citation needs edition-specific checking.	Printed/received citation; variant flagged	exploitative_guru	https://archive.org/details/kularnavatantramramkumarrai
106	A	Śākta Tantra	Kubjikāmata Tantra	3.48	śaktihīnaṃ guruṃ prāpya śiṣye muktiḥ kutaḥ priye | mūlacchinne yathā vṛkṣe kutaḥ puṣpaphalādikam	How can a disciple gain liberation from a guru lacking power, just as a severed tree cannot bear flowers or fruit?	Parallel in the “powerless guru” textual family.	Verified digital Sanskrit; edition spelling normalized	guru_without_power	https://www.holy-writings.com/?a=SHOWTEXT&d=%2Fen%2FHinduism%2FKubjikamatatantra.txt
107	A	Classical kāvya	Kālidāsa, Mālavikāgnimitra	1.2	purāṇam ity eva na sādhu sarvaṃ na cāpi kāvyaṃ navam ity avadyam | santaḥ parīkṣyānyatarad bhajante mūḍhaḥ parapratyayaneyabuddhiḥ	Not everything is good merely because it is old, nor bad because it is new. The discerning examine and choose; a fool’s judgment is led by others.	Classical literature, not śruti or smṛti; exceptionally direct.	Verified digital Sanskrit	old_new_examine	https://shreevatsa.net/ryder/verses/verses.html
108	C	Advaita dialogue	Aṣṭāvakra Gītā	9.5	nānā mataṃ maharṣīṇāṃ sādhūnāṃ yogināṃ tathā | dṛṣṭvā nirvedam āpannaḥ ko na śāmyati mānavaḥ	Seeing the many differing views of sages, saints, and yogins, what thoughtful person would not become detached from opinion?	Late Advaita text; promotes dispassion more than a method of proof.	Verified digital Sanskrit	many_views_dispassion	https://sanskritdocuments.org/doc_giitaa/ashtgita.html
109	A	Received subhāṣita	Uncertain attribution; popular variant	verse number not established	yuktiyuktaṃ vaco grāhyaṃ bālād api śukād api | ayuktam api na grāhyaṃ sākṣād api bṛhaspateḥ	Accept a reasoned statement even from a child—or a parrot; do not accept an unreasonable one even from Bṛhaspati himself.	Widely circulated but exact classical source remains unverified; not to be cited as secure scripture.	Uncertain attribution; included only as flagged lead	yukti_guru_reverence	https://sanskritdocuments.org/doc_z_misc_subhaashita/sArthashrIyogavAsiShThasubhAShitAni.html
